iter	Passed	Remaining
814	50073	11366
815	50131	11304
816	50191	11242
817	50251	11180
818	50314	11119
819	50383	11059
820	50471	11004
821	50536	10943
822	50592	10880
823	50658	10820
824	50726	10760
825	50799	10701
826	50867	10640
827	50938	10581
828	51003	10520
829	51070	10460
830	51137	10399
831	51218	10342
832	51279	10280
833	51350	10220
834	51433	10163
835	51504	10103
836	51573	10043
837	51638	9982
838	51695	9920
839	51776	9862
840	51851	9803
841	51935	9745
842	52010	9686
843	52101	9630
844	52186	9572
845	52279	9516
846	52397	9464
847	52471	9405
848	52553	9347
849	52639	9289
850	52713	9229
851	52785	9169
852	52859	9109
853	52932	9049
854	53005	8989
855	53074	8928
856	53148	8868
857	53215	8807
858	53280	8745
859	53345	8684
860	53410	8622
861	53480	8561
862	53545	8500
863	53611	8438
864	53673	8376
865	53735	8314
866	53801	8253
867	53867	8191
868	53933	8130
869	53996	8068
870	54067	8007
871	54135	7946
872	54200	7884
873	54264	7823
874	54331	7761
875	54398	7700
876	54463	7638
877	54531	7577
878	54597	7515
879	54659	7453
880	54727	7392
881	54792	7330
882	54859	7269
883	54925	7207
884	54988	7145
885	55052	7083
886	55124	7022
887	55190	6961
888	55268	6900
889	55343	6840
890	55417	6779
891	55512	6721
892	55604	6662
893	55686	6602
894	55768	6542
895	55852	6482
896	55938	6423
897	56022	6363
898	56099	6302
899	56183	6242
900	56270	6182
901	56362	6123
902	56443	6063
903	56523	6002
904	56626	5944
905	56716	5884
906	56804	5824
907	56884	5763
908	56968	5703
909	57058	5643
910	57141	5582
911	57224	5521
912	57300	5460
913	57375	5398
914	57459	5337
915	57534	5276
916	57612	5214
917	57690	5153
918	57775	5092
919	57849	5030
920	57921	4968
921	58001	4906
922	58080	4845
923	58161	4783
924	58233	4721
925	58305	4659
926	58384	4597
927	58461	4535
928	58536	4473
929	58617	4412
930	58690	4349
931	58769	4287
932	58850	4226
933	58921	4163
934	58996	4101
935	59076	4039
936	59150	3977
937	59225	3914
938	59295	3851
939	59369	3789
940	59446	3727
941	59524	3664
942	59601	3602
943	59675	3540
944	59748	3477
945	59823	3414
946	59902	3352
947	59976	3289
948	60045	3226
949	60125	3164
950	60214	3102
951	60284	3039
952	60355	2976
953	60429	2913
954	60500	2850
955	60570	2787
956	60648	2725
957	60727	2662
958	60807	2599
959	60885	2536
960	60959	2473
961	61032	2410
962	61101	2347
963	61170	2284
964	61248	2221
965	61329	2158
966	61402	2095
967	61464	2031
968	61513	1967
969	61564	1904
970	61620	1840
971	61674	1776
972	61732	1713
973	61788	1649
974	61847	1585
975	61905	1522
976	61964	1458
977	62028	1395
978	62094	1331
979	62153	1268
980	62214	1204
981	62275	1141
982	62336	1078
983	62404	1014
984	62468	951
985	62530	887
986	62591	824
987	62657	761
988	62720	697
989	62784	634
990	62845	570
991	62912	507
992	62974	443
993	63037	380
994	63102	317
995	63164	253
996	63227	190
997	63293	126
998	63352	63
999	63418	0
